2theta-002,d002,Lc,Id/Ig,La,Vt(cm3g-1),surface areas(m2g-1)-N2,Average pore sizee(nm),slope ,plate,S/P,lg(s/p),ICE
23.76,0.37,0.88,2.24,2.04,0.79,248,12.86,0.99,0.010526316,94.04040404,1.973314486,40
23.01,0.39,0.75,2.24,2.29,0.92,517,7.35,4.07,0.026315789,154.8148148,2.189812518,43
23.01,0.39,0.79,2.24,1.93,1.06,483,8.81,3.67,0.010526316,348.6531987,2.542393654,39
23.76,0.37,0.8,2.24,2.29,0.72,428,6.83,3.23,0.011052632,292.3873657,2.465958602,36
23.76,0.37,0.79,2.24,1.82,0.62,361,6.89,2.93,0.011578947,253.449648,2.403891692,37
23.01,0.39,0.77,2.24,1.92,1.15,753,6.37,5.34,0.026315789,202.9225589,2.30733033,45
22.26,0.4,0.76,2.24,2.37,0.51,237,9.45,3.04,0.010526316,288.5185185,2.460173694,38
25.38,0.354,1.74,2.15,8.93,0.51,0.5966,12.53,1.02,0.052631579,19.31986532,1.286004095,45.48
25.35,0.358,1.5,2.24,8.58,0.51,0.0218,15.61,1.18,0.168421053,6.997053872,0.844915218,75.09
25.32,0.36,1.47,2.57,7.47,0.51,1.6108,18.69,1.44,0.260526316,5.518484508,0.741819828,79.6
25.37,0.36,1.58,2.38,8.08,0.51,0.0731,21.77,1.16,0.163157895,7.098946454,0.8511939,75.88
25.43,0.359,1.6,1.99,9.68,0.51,3.4696,24.85,0.86,0.2,4.276094276,0.631047272,75.49
25.47,0.358,2.35,1.67,11.5,0.51,5.2682,27.93,0.68,0.136842105,4.97021497,0.696375173,65.75
25.76,0.354,3.91,1.45,13.24,0.51,2.8848,31.01,0.42,0.084210526,5.037878788,0.702247714,59.13
25.83,0.353,6.71,0.94,20.5,0.51,3.8524,34.09,0.4,0.078947368,5.117845118,0.709087139,46.3
23.294,3.81,1.24,1.38,13.84,0.55,707,3.09,2.26,0.078947368,28.57463524,1.455980695,40.7
22.906,3.88,1.14,1.65,11.64,0.36,470,3.09,2.32,0.084210526,27.50841751,1.439465607,46.45
22.435,3.96,1.22,1.51,12.75,0.79,676,4.69,3.79,0.089473684,42.37274708,1.627086621,58
22.742,3.91,1.23,1.62,11.85,0.82,587,5.63,2.64,0.094736842,27.86382342,1.445040709,44.57
23.5,3.86,1.286666667,1.35,11.85,0.82,148.842,4.581,2.81,0.047368421,59.35278713,1.773441118,57.8
23.5,3.81,1.331666667,1.36,11.85,0.82,226.713,6.815,5.87,0.121052632,48.49158249,1.685666357,53
23.5,3.76,1.376666667,1.4,11.85,0.82,351.018,6.559,7.31,0.126315789,57.83698092,1.762205615,58.6
23.5,3.71,1.421666667,1.37,11.85,0.82,461.711,15.18,6.78,0.131578947,51.49063973,1.711728288,59.7
23.5,0.393,0.38,1.08,11.85,0.82,47.6,15.18,0.65,1.542105263,0.423575918,-0.373068739,73.2
23.5,0.393,0.38,1.08,11.85,0.82,14.6,15.18,0.48,1.115789474,0.434534019,-0.361976217,69.09975669
23.5,0.393,0.38,1.08,11.85,0.82,2.6,15.18,0.67,0.984210526,0.677361854,-0.169179265,64.12556054
23.5,0.393,0.38,1.08,11.85,0.82,11.67,5.44,1.17,0.431578947,2.714954422,0.433762543,62
23.5,0.393,0.38,1.08,11.85,0.82,9.23,9.44,1.02,0.842105263,1.207491582,0.081884112,71
23.5,0.393,0.38,1.08,11.85,0.82,8.57,9.01,0.92,0.994736842,0.927440187,-0.03271409,76
23.5,0.393,0.38,1.08,11.85,0.82,5.54,11.72,0.86,1.215789474,0.703426764,-0.152781112,81
